n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13009*001;LA BARBEN - Route Des Feissiniers - Parking Tennis;Route Des Feissiniers - Parking Tennis 13330 LA BARBEN;13009;5,176413;43,629899;2;FR*M13*E13009*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13009*001;LA BARBEN - Route Des Feissiniers - Parking Tennis;Route Des Feissiniers - Parking Tennis 13330 LA BARBEN;13009;5,176413;43,629899;2;FR*M13*E13009*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13053*001;MALLEMORT - Parking De L'Auratoir;Parking De L'Auratoir 13370 MALLEMORT;13053;5,177512;43,728394;2;FR*M13*E13053*001*1;22;EF - T3;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13053*001;MALLEMORT - Parking De L'Auratoir;Parking De L'Auratoir 13370 MALLEMORT;13053;5,177512;43,728394;2;FR*M13*E13053*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13008*001;AURONS - Route De Pelissane;Route De Pelissane 13121 AURONS;13008;5,156308;43,663796;2;FR*M13*E13008*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13008*001;AURONS - Route De Pelissane;Route De Pelissane 13121 AURONS;13008;5,156308;43,663796;2;FR*M13*E13008*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13104*001;SAUSSET-LES-PINS - Place Des Droits De L'Homme;Place Des Droits De L'Homme 13960 SAUSSET-LES-PINS;13104;5,109004;43,332432;2;FR*M13*E13104*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13104*001;SAUSSET-LES-PINS - Place Des Droits De L'Homme;Place Des Droits De L'Homme 13960 SAUSSET-LES-PINS;13104;5,109004;43,332432;2;FR*M13*E13104*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13032*001;EGUILLES - Avenue Des Anciens Combattants;Avenue Des Anciens Combattants 13510 EGUILLES;13032;5,353442;43,571542;2;FR*M13*E13032*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
Aix-Marseille-Provence;BOUYGUES ENERGIES ET SERVICES;MAMP;FR*M13*P13032*001;EGUILLES - Avenue Des Anciens Combattants;Avenue Des Anciens Combattants 13510 EGUILLES;13032;5,353442;43,571542;2;FR*M13*E13032*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;07/10/2020
